sp,fructose,glucose,sucrose
S. haenkei,0.000562159,0.001023663,0.0009511854
S. haenkei,0.0004672831,0.0009585118,0.0006696985
S. haenkei,0.0016569458,0.0017962475,0.0031015736
S. haenkei,0.0004434035,0.0009828775,0.0005991149
S. haenkei,0.0004834261,0.0009635326,0.0005478434
S. haenkei,0.0004107957,0.0009447506,0.0005434276
S. orbignaei,0.0159325813,0.0090511353,0.0296087052
S. orbignaei,0.0019581666,0.0018356949,0.0034135037
S. orbignaei,0.0068237687,0.0058516721,0.0131611397
S. orbignaei,0.0013950324,0.0010406031,0.001655359
S. orbignaei,0.0035404778,0.0028719195,0.0064806415
S. orbignaei,0.0069050216,0.0042079426,0.0115714115
S. personata,NA,NA,NA
S. personata,0,0.0009971005,0.0004892111
S. personata,0,0.00094911,0.0004772478
S. stachydifolia,0.0005604522,0.0011413175,0.0009569053
S. stachydifolia,0.0004884333,0.0010447008,0.0008451076
S. stachydifolia,0.0005056335,0.0010425772,0.0009420323
S. stachydifolia,0.0004739265,0.0010046713,0.0008684135
S. stachydifolia,0.0004311425,0.001017928,0.000648359
S. stachydifolia,0.0004315479,0.0009868986,0.0006034087
